mz_rt,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.signif
423.2047_4.21,-76930.89492753622,34705.583333333336,111636.47826086957,rel_abund,Control,Tomato,12,23,-3.750328548900711,8.53e-4,27.017576861669532,-119019.03490989868,-34842.75494517378,T-test,two.sided,***
425.2919_5.21,-23546.130434782608,0,23546.130434782608,rel_abund,Control,Tomato,12,23,-8.41013096331918,2.55e-8,22,-29352.423579922746,-17739.837289642473,T-test,two.sided,****
425.3137_6.78,56600.884057971016,119146.66666666667,62545.782608695656,rel_abund,Control,Tomato,12,23,2.775623216989696,0.015,13.837333690989993,12815.818670456123,100385.94944548591,T-test,two.sided,*
426.1321_2.84,158506.77536231885,424025.1666666667,265518.39130434784,rel_abund,Control,Tomato,12,23,2.429012635126802,0.0309,12.633641566740952,17113.835423473534,299899.71530116413,T-test,two.sided,*
426.3495_10.54,7153.021739130436,28055.5,20902.478260869564,rel_abund,Control,Tomato,12,23,2.647662975255633,0.0173,16.451699682434445,1438.5625110068604,12867.48096725401,T-test,two.sided,*
427.1813_3.85,-15083.184782608689,50626.25,65709.43478260869,rel_abund,Control,Tomato,12,23,-2.829821500317268,0.00912,24.663547010938206,-26068.295432983556,-4098.074132233821,T-test,two.sided,**
427.2039_5.83,13370.373188405792,55226.416666666664,41856.04347826087,rel_abund,Control,Tomato,12,23,2.8679772162287156,0.0118,14.906631306178888,3428.233317425204,23312.513059386383,T-test,two.sided,*
427.3082_4.96,-78378.17391304347,0,78378.17391304347,rel_abund,Control,Tomato,12,23,-7.022107347017244,4.79e-7,22,-101525.98068344311,-55230.36714264385,T-test,two.sided,****
427.3082_4.97,-230635.08695652173,0,230635.08695652173,rel_abund,Control,Tomato,12,23,-4.842663028991729,7.72e-5,22,-329404.6879982073,-131865.4859148362,T-test,two.sided,****
427.3082_5.6,-704364.8405797101,3003.3333333333335,707368.1739130435,rel_abund,Control,Tomato,12,23,-5.670861738621862,1.06e-5,22.00266138571298,-961954.0917163666,-446775.5894430535,T-test,two.sided,****
